vehicle_id,model_name,brand,body_type,segment,usable_battery_kwh,real_range_km,efficiency_wh_km,acceleration_0_100_s,top_speed_km_h,towing_capacity_kg,price_eur,charging_time_min,max_charging_power_kw,horsepower_hp,torque_nm,maintenance_cost_euro_year,seating_capacity,boot_capacity_l,adas_level,safety_rating_euro_ncap,usage_type,energy_cost_euro_100km,insurance_rating,powertrain_type,fuel_type,segment_system,adas_level_clean,vehicle_classification
17,Toyota K5,Toyota,SUV,D,0,907,576,7.6,250,2039,57611,0,0,222,292,547,7,728,1,5,Sports,11,4,Petrol,Petrol,Vehicle_Size,1,ICE
18,BMW FF-8,BMW,SUV,D,0,1100,450,10.5,179,1525,48476,0,0,103,174,627,5,533,0,5,Commercial,7.2,3,Diesel,Diesel,Vehicle_Size,0,ICE
19,Ford D9,Ford,Crossover,B,0,720,624,10.7,208,1539,33585,0,0,145,237,637,7,743,1,4,Personal,10.29,3,Diesel,Diesel,Vehicle_Size,1,ICE
20,Nissan CC1,Nissan,SUV,D,1.6,900,359,9.1,218,1791,49816,0,0,136,236,627,6,613,1,3,Personal,6.17,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
21,Hyundai Q5x,Hyundai,MPV,B,0,936,506,11.1,195,1077,33648,0,0,106,159,479,7,743,0,4,Personal,8.35,1,Diesel,Diesel,Vehicle_Size,0,ICE
22,Skoda LL-77,Skoda,Coupe,C,1.3,900,356,8.8,250,470,45476,0,0,197,325,838,2,268,1,4,Personal,6.11,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
23,Dacia ZZ-33,Dacia,Convertible,C,0,726,575,9.5,229,0,38920,0,0,140,234,492,2,185,1,3,Personal,10.98,4,Petrol,Petrol,Vehicle_Size,1,ICE
24,Land Rover R88,Land Rover,Crossover,F,0,1100,450,6.3,250,1688,125146,0,0,385,650,655,7,677,3,4,Personal,7.04,10,Diesel,Diesel,Vehicle_Size,3,ICE
25,Kia WW-88,Kia,Crossover,B,2,900,321,10.9,239,1503,37083,0,0,143,204,679,6,576,1,3,Commercial,5.52,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
26,Renault Z66,Renault,Crossover,B,0,524,700,11.5,194,1610,30851,0,0,114,157,626,7,579,0,4,Personal,14.84,3,Petrol,Petrol,Vehicle_Size,0,ICE
27,Ferrari 777,Ferrari,SUV,E,10.5,900,300,7.4,250,1742,85386,57,0,319,459,564,6,644,2,5,Personal,5,7,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
28,Volkswagen H7x,Volkswagen,SUV,B,0,1067,451,10.5,227,1961,35909,0,0,116,235,651,7,578,0,4,Personal,7.43,1,Diesel,Diesel,Vehicle_Size,0,ICE
29,Audi SS1,Audi,Crossover,E,0,1004,619,8.6,250,1504,72835,0,0,249,329,548,5,465,2,5,Personal,11.83,6,Petrol,Petrol,Vehicle_Size,2,ICE
30,Honda ZZ-55,Honda,Hatchback,D,0,804,700,10.7,250,829,54659,0,0,194,297,617,5,364,1,5,Personal,13.48,4,Petrol,Petrol,Vehicle_Size,1,ICE
31,Hyundai 111,Hyundai,Hatchback,C,0,765,603,10,240,768,38969,0,0,142,204,564,5,420,1,5,Personal,11.51,2,Petrol,Petrol,Vehicle_Size,1,ICE
32,Dacia S-Class,Dacia,Coupe,D,16.9,900,348,8.8,250,496,65418,25,0,261,431,912,4,351,2,5,Personal,5,7,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
33,Opel C4 Pro,Opel,Hatchback,D,0,813,700,9.2,235,820,53853,0,0,178,301,774,5,396,1,4,Personal,12.19,4,Diesel,Diesel,Vehicle_Size,1,ICE
34,Skoda T1 Pro,Skoda,SUV,B,0,800,498,10.6,202,2302,30567,0,0,82,120,627,5,527,0,4,Personal,9.5,2,Petrol,Petrol,Vehicle_Size,0,ICE
35,Ferrari G8 Pro,Ferrari,Crossover,F,1.3,900,411,8.5,250,1364,111373,0,0,303,402,723,7,511,2,5,Personal,7.06,7,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
36,Renault A2 Pro,Renault,Sedan,E,0,1065,639,9.5,240,885,66727,0,0,179,362,457,5,490,1,5,Personal,10.54,5,Diesel,Diesel,Vehicle_Size,1,ICE
37,Mercedes-Benz F1 Pro,Mercedes-Benz,MPV,E,0,1100,450,7.5,250,1045,70227,0,0,309,483,658,7,958,2,4,Personal,8.08,7,Petrol,Petrol,Vehicle_Size,2,ICE
38,Lamborghini G-Class,Lamborghini,Sedan,C,0,768,625,11,208,950,36905,0,0,109,145,463,5,482,0,4,Personal,11.94,4,Petrol,Petrol,Vehicle_Size,0,ICE
39,Peugeot CC-99,Peugeot,Convertible,C,0,826,601,9.7,208,27,39227,0,0,135,227,525,3,216,1,4,Personal,11.48,3,Petrol,Petrol,Vehicle_Size,1,ICE
40,Subaru NN1,Subaru,Wagon,C,0,819,543,8.8,250,1433,50299,0,0,207,350,585,5,688,1,3,Personal,10.38,3,Petrol,Petrol,Vehicle_Size,1,ICE
41,Fiat AA-66,Fiat,Sedan,A,0,924,450,10.5,203,869,29259,0,0,99,175,354,5,600,0,4,Personal,6.82,2,Diesel,Diesel,Vehicle_Size,0,ICE
42,Ford F7x,Ford,Hatchback,C,0,806,574,9.7,227,814,45445,0,0,181,372,574,5,447,1,3,Personal,9.47,4,Diesel,Diesel,Vehicle_Size,1,ICE
43,Mitsubishi R6,Mitsubishi,Sedan,C,13.9,900,380,10.8,201,650,39354,28,0,113,160,533,5,553,0,4,Personal,5,4,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
44,Opel I2x,Opel,SUV,D,13.3,900,381,7.6,250,1818,68709,55,0,271,467,724,7,778,2,4,Personal,5.15,6,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
45,Ford 999,Ford,Sedan,C,0,689,634,11.4,223,796,38150,0,0,140,241,440,5,386,1,4,Personal,12.12,3,Petrol,Petrol,Vehicle_Size,1,ICE
46,Ford K33,Ford,Pickup,C,0,740,611,10.7,208,2500,36157,0,0,104,163,418,2,0,0,4,Sports,11.68,2,Petrol,Petrol,Vehicle_Size,0,ICE
47,Seat I22,Seat,Sedan,D,0,1080,551,9.8,235,1038,49701,0,0,164,297,496,5,417,1,3,Personal,9.09,4,Diesel,Diesel,Vehicle_Size,1,ICE
48,Citroën K77,Citroën,Coupe,C,0.9,900,381,9.3,250,428,52574,0,0,238,322,554,2,241,1,5,Personal,6.55,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
49,Honda B66,Honda,Hatchback,F,0,1100,565,6.8,250,765,111216,0,0,312,490,552,5,458,2,3,Personal,9.33,8,Diesel,Diesel,Vehicle_Size,2,ICE
50,Audi A11,Audi,Pickup,D,0,738,700,9.7,234,2457,52074,0,0,150,227,699,5,0,1,4,Personal,13.4,4,Petrol,Petrol,Vehicle_Size,1,ICE
51,Renault N-Class,Renault,Sedan,A,0,540,700,11.5,185,906,24899,0,0,73,128,587,5,430,0,5,Commercial,13.87,2,Petrol,Petrol,Vehicle_Size,0,ICE
52,Volkswagen EE7,Volkswagen,SUV,A,2,712,485,9.7,217,1849,26072,0,0,117,164,846,7,503,0,4,Sports,8.33,3,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
53,Kia II7,Kia,Crossover,D,0,996,547,8.8,240,1380,56297,0,0,211,373,563,7,565,1,5,Personal,9.02,6,Diesel,Diesel,Vehicle_Size,1,ICE
54,Subaru 444,Subaru,Hatchback,C,0,668,670,11,215,580,42468,0,0,163,217,651,5,301,1,4,Personal,12.79,4,Petrol,Petrol,Vehicle_Size,1,ICE
55,Mitsubishi UU-4,Mitsubishi,Coupe,D,0,1005,606,10,250,604,61529,0,0,214,357,483,3,359,1,3,Commercial,10,5,Diesel,Diesel,Vehicle_Size,1,ICE
56,Kia RR-99,Kia,Sedan,B,0,838,561,10.4,236,819,35875,0,0,156,266,770,5,381,1,5,Personal,9.26,2,Diesel,Diesel,Vehicle_Size,1,ICE
57,Lancia D5x,Lancia,Crossover,A,0,701,509,11.9,186,1654,22734,0,0,79,141,472,6,471,0,4,Personal,9.73,1,Petrol,Petrol,Vehicle_Size,0,ICE
58,Toyota L8,Toyota,Crossover,C,1.4,761,500,8.6,250,1287,52020,0,0,253,353,592,5,725,2,4,Personal,10.4,5,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
59,Audi O2 Pro,Audi,Crossover,D,0,1100,451,9.2,246,1612,55819,0,0,185,288,764,6,756,1,4,Personal,7.44,5,Diesel,Diesel,Vehicle_Size,1,ICE
60,Mercedes-Benz AA-77,Mercedes-Benz,Hatchback,F,0,966,690,7.3,250,701,113879,0,0,374,496,820,5,487,3,4,Personal,13.17,9,Petrol,Petrol,Vehicle_Size,3,ICE
61,Subaru AA-5,Subaru,Hatchback,E,0,916,665,8.2,250,689,76348,0,0,226,353,468,5,408,1,5,Personal,12.69,5,Petrol,Petrol,Vehicle_Size,1,ICE
62,Ferrari T2 Pro,Ferrari,Hatchback,C,2,900,493,11.2,191,718,40300,0,0,113,176,505,5,372,0,4,Commercial,7.31,3,Hybrid,Diesel+Electric,Vehicle_Size,0,Hybrid
63,Toyota SS-3,Toyota,Sedan,D,1.7,812,500,9.7,213,726,49463,0,0,148,207,710,5,601,1,5,Commercial,10.73,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
64,Kia T-Class,Kia,Hatchback,A,1,900,369,10.1,227,835,29944,0,0,127,181,482,5,443,1,5,Personal,6.34,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
65,Nissan CC-99,Nissan,MPV,C,1.1,900,359,9.2,250,1148,50069,0,0,216,316,617,8,520,1,4,Personal,6.16,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
66,Toyota EE-6,Toyota,SUV,E,0,957,645,10.1,250,1700,74056,0,0,219,329,696,6,505,1,4,Sports,10.63,6,Diesel,Diesel,Vehicle_Size,1,ICE
67,Toyota F4 Pro,Toyota,Crossover,C,0.9,759,500,11.1,212,1760,46865,0,0,135,230,700,5,724,1,4,Personal,9.31,4,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
68,Opel O9 Pro,Opel,SUV,F,1.7,900,390,6.7,250,1758,118380,0,0,360,608,746,7,729,3,4,Commercial,6.7,7,Hybrid,Petrol+Electric,Vehicle_Size,3,Hybrid
69,Volkswagen BB-11,Volkswagen,Sedan,B,0,732,608,10.6,198,796,28283,0,0,115,168,490,5,398,0,4,Personal,11.61,1,Petrol,Petrol,Vehicle_Size,0,ICE
70,Fiat UU-55,Fiat,SUV,B,0,731,552,11.2,213,1898,35053,0,0,107,195,328,7,820,0,4,Personal,9.1,3,Diesel,Diesel,Vehicle_Size,0,ICE
71,Renault A11,Renault,Sedan,C,0,1045,508,11.5,198,932,39837,0,0,109,183,650,5,516,0,3,Personal,8.37,3,Diesel,Diesel,Vehicle_Size,0,ICE
72,Fiat II-55,Fiat,SUV,E,0,1100,450,6.8,250,1921,82382,0,0,277,419,687,5,800,2,4,Personal,6.08,7,Diesel,Diesel,Vehicle_Size,2,ICE
73,Vauxhall M4x,Vauxhall,SUV,C,1,884,500,9.2,239,1810,49761,0,0,196,313,781,6,806,1,5,Commercial,8.89,4,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
74,Peugeot K1 Pro,Peugeot,SUV,D,0,1100,450,8.1,250,1915,65195,0,0,225,429,704,7,685,1,3,Personal,6.08,5,Diesel,Diesel,Vehicle_Size,1,ICE
75,BMW Z99,BMW,Pickup,B,0,1043,450,10.4,199,2500,34614,0,0,116,170,452,2,0,0,3,Commercial,7.95,2,Petrol,Petrol,Vehicle_Size,0,ICE
76,Citroën 222,Citroën,Sedan,D,15.1,900,377,8.9,233,809,53861,36,0,173,245,404,5,393,1,4,Personal,5.09,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
77,Opel X2x,Opel,SUV,C,1.6,900,446,8.4,245,1745,48706,0,0,183,261,539,5,615,1,5,Personal,6.62,3,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
78,Mazda Z99,Mazda,Hatchback,B,1.9,701,500,9.2,219,508,39135,0,0,150,221,583,5,497,1,3,Personal,10.97,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
79,Toyota O-Class,Toyota,SUV,D,15.5,900,322,9.5,221,1846,54985,32,0,162,249,560,7,585,1,4,Personal,5,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
80,Kia L6 Pro,Kia,Wagon,D,0,784,688,9.9,231,1215,51864,0,0,178,298,405,5,623,1,4,Personal,13.14,3,Petrol,Petrol,Vehicle_Size,1,ICE
81,Subaru X-Class,Subaru,Hatchback,C,0,652,642,9.4,247,852,38517,0,0,160,223,211,5,361,1,4,Commercial,12.26,3,Petrol,Petrol,Vehicle_Size,1,ICE
82,Seat H-Class,Seat,Crossover,B,0,632,608,10.1,232,1497,29003,0,0,112,185,402,7,647,0,4,Personal,11.61,2,Petrol,Petrol,Vehicle_Size,0,ICE
83,Ford GG8,Ford,SUV,B,0,1093,450,11.6,186,1790,29486,0,0,70,143,249,6,481,0,4,Personal,6.96,2,Diesel,Diesel,Vehicle_Size,0,ICE
84,Audi AA3,Audi,Hatchback,F,13.4,900,457,7.3,250,723,113372,40,0,319,444,524,5,396,2,5,Personal,5.35,6,Hybrid,Diesel+Electric,Vehicle_Size,2,Hybrid
85,Volkswagen U8,Volkswagen,MPV,D,0,1059,599,10.6,227,1172,56750,0,0,177,316,635,5,604,1,3,Personal,9.89,4,Diesel,Diesel,Vehicle_Size,1,ICE
86,BMW A3,BMW,SUV,D,0,922,563,9.5,249,1844,52172,0,0,212,314,751,7,778,1,4,Personal,10.74,4,Petrol,Petrol,Vehicle_Size,1,ICE
87,Suzuki S8x,Suzuki,Wagon,D,0,813,679,6.7,250,1227,73272,0,0,309,569,392,5,724,2,4,Personal,11.2,5,Diesel,Diesel,Vehicle_Size,2,ICE
88,Lancia S2x,Lancia,SUV,D,0,1100,505,8.6,227,1865,61233,0,0,210,421,503,7,550,1,4,Commercial,8.33,6,Diesel,Diesel,Vehicle_Size,1,ICE
89,Audi 111,Audi,MPV,B,1.9,900,360,11.4,205,1173,34897,0,0,92,161,553,7,636,0,5,Personal,6.2,2,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
90,Volvo WW-22,Volvo,Sedan,C,0,735,577,9.7,213,966,41285,0,0,139,211,479,5,557,1,5,Personal,11.03,4,Petrol,Petrol,Vehicle_Size,1,ICE
91,Audi NN6,Audi,SUV,D,0,752,700,9.1,232,1874,59017,0,0,190,320,584,5,719,1,4,Personal,13.98,4,Petrol,Petrol,Vehicle_Size,1,ICE
92,Honda F1x,Honda,Wagon,B,0,626,624,9.1,227,1161,36076,0,0,145,226,582,5,854,1,5,Personal,11.92,4,Petrol,Petrol,Vehicle_Size,1,ICE
93,Alfa Romeo 666,Alfa Romeo,SUV,B,0,914,520,8.7,250,1790,36434,0,0,180,348,558,7,734,1,5,Personal,8.58,3,Diesel,Diesel,Vehicle_Size,1,ICE
94,Seat PP-1,Seat,SUV,D,0,649,700,9.2,250,1779,62190,0,0,246,428,742,7,506,2,3,Personal,15.72,5,Petrol,Petrol,Vehicle_Size,2,ICE
95,Opel ZZ-1,Opel,Pickup,E,0,821,700,8.1,250,2353,72240,0,0,271,450,904,2,0,2,4,Personal,14.31,6,Petrol,Petrol,Vehicle_Size,2,ICE
96,Nissan W-Class,Nissan,Crossover,D,0,1100,450,8.7,250,1442,61526,0,0,205,314,495,7,582,1,4,Sports,6.91,6,Diesel,Diesel,Vehicle_Size,1,ICE
97,Skoda CC-5,Skoda,Crossover,A,0,555,653,9.5,235,1591,37736,0,0,164,269,710,6,420,1,4,Personal,10.78,4,Diesel,Diesel,Vehicle_Size,1,ICE
98,BMW HH-8,BMW,Crossover,F,0,739,700,8.4,250,1602,109290,0,0,306,518,887,7,728,2,5,Personal,15.32,7,Petrol,Petrol,Vehicle_Size,2,ICE
99,Mercedes-Benz BB5,Mercedes-Benz,Coupe,B,0,864,555,9.9,219,541,34748,0,0,132,199,753,3,337,1,3,Personal,9.15,3,Diesel,Diesel,Vehicle_Size,1,ICE
100,Dacia XX-44,Dacia,Convertible,B,0,920,506,10.8,212,0,32078,0,0,120,216,489,2,294,1,4,Personal,8.35,2,Diesel,Diesel,Vehicle_Size,1,ICE
101,Bentley G7,Bentley,Crossover,F,0,1100,450,9.1,235,1617,103402,0,0,235,377,551,7,669,1,5,Personal,7.65,8,Petrol,Petrol,Vehicle_Size,1,ICE
102,Honda 999,Honda,Sedan,D,1.3,900,444,8.9,250,1122,59453,0,0,266,455,402,5,398,2,3,Personal,7.64,6,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
103,Citroën FF-99,Citroën,Hatchback,E,0,1100,516,7.1,250,771,75979,0,0,292,572,607,5,448,2,4,Personal,8.52,6,Diesel,Diesel,Vehicle_Size,2,ICE
104,Dacia WW-3,Dacia,Crossover,D,10.6,900,338,9.7,212,1500,52066,56,0,120,161,457,7,693,1,4,Personal,5,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
105,Kia 333,Kia,Coupe,D,0,1095,474,8,250,396,62518,0,0,230,377,643,4,315,1,3,Personal,9.05,5,Petrol,Petrol,Vehicle_Size,1,ICE
106,Suzuki 555,Suzuki,SUV,C,0,1083,480,10.5,221,1798,43019,0,0,148,288,452,6,757,1,5,Sports,7.92,3,Diesel,Diesel,Vehicle_Size,1,ICE
107,Alfa Romeo RR-5,Alfa Romeo,Hatchback,C,0,693,641,10.6,230,641,44286,0,0,185,250,569,5,431,1,4,Personal,12.25,4,Petrol,Petrol,Vehicle_Size,1,ICE
108,Citroën WW-1,Citroën,Sedan,E,1.1,900,399,8.3,250,876,80714,0,0,278,429,642,5,463,2,4,Personal,6.86,7,Hybrid,Petrol+Electric,Vehicle_Size,2,Hybrid
109,BMW U5 Pro,BMW,SUV,E,1,900,465,8.4,250,1955,78737,0,0,221,359,527,6,598,1,5,Sports,7.99,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
110,Land Rover P1 Pro,Land Rover,Coupe,C,13.5,893,468,10.4,222,606,47952,35,0,171,252,653,2,289,1,5,Personal,6,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
111,Alfa Romeo V1x,Alfa Romeo,Hatchback,C,1.5,799,500,10,189,659,43700,0,0,134,199,476,5,366,1,4,Personal,9.26,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
112,Renault OO7,Renault,Crossover,C,0,743,608,10.4,212,1511,33728,0,0,96,130,547,5,443,0,3,Personal,11.61,2,Petrol,Petrol,Vehicle_Size,0,ICE
113,Opel D-Class,Opel,Wagon,C,0,1100,450,9.1,250,1199,44432,0,0,195,378,461,5,697,1,4,Personal,6.35,5,Diesel,Diesel,Vehicle_Size,1,ICE
114,Toyota QQ-66,Toyota,MPV,E,0,1049,644,7.5,250,1148,74453,0,0,281,458,575,5,633,2,3,Commercial,10.62,5,Diesel,Diesel,Vehicle_Size,2,ICE
115,Audi B4 Pro,Audi,Hatchback,A,0,573,637,9.3,211,539,32795,0,0,165,288,714,5,414,1,4,Personal,10.51,3,Diesel,Diesel,Vehicle_Size,1,ICE
116,Vauxhall I7,Vauxhall,MPV,C,0,835,498,11.1,222,1299,42634,0,0,129,201,327,6,976,1,4,Personal,9.51,3,Petrol,Petrol,Vehicle_Size,1,ICE
117,Hyundai P6 Pro,Hyundai,Crossover,E,0,1018,612,8.4,250,1642,76880,0,0,226,350,726,6,650,1,5,Personal,10.1,5,Diesel,Diesel,Vehicle_Size,1,ICE
118,Suzuki N4,Suzuki,Wagon,C,0,941,562,8.5,250,1127,42750,0,0,186,323,572,5,874,1,4,Personal,9.27,5,Diesel,Diesel,Vehicle_Size,1,ICE
119,Fiat CC1,Fiat,Hatchback,C,0,760,599,11,202,622,36353,0,0,112,154,273,5,482,0,5,Personal,11.44,2,Petrol,Petrol,Vehicle_Size,0,ICE
120,Nissan XX-7,Nissan,SUV,C,1.5,900,373,9.3,231,1909,46320,0,0,158,223,491,7,703,1,4,Personal,5.53,5,Hybrid,Diesel+Electric,Vehicle_Size,1,Hybrid
121,Toyota 444,Toyota,Crossover,A,0.9,675,500,9.7,192,1420,30201,0,0,136,201,620,6,467,1,4,Commercial,9,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
122,Mazda L55,Mazda,Sedan,B,12.1,900,300,10.7,229,734,34854,35,0,135,208,808,5,384,1,3,Personal,5,2,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
123,BMW 222,BMW,SUV,B,0,944,450,10.5,209,1747,28260,0,0,95,145,731,5,508,0,4,Personal,8.46,2,Petrol,Petrol,Vehicle_Size,0,ICE
124,Fiat Q7,Fiat,Crossover,B,0,772,545,11.1,190,1663,26811,0,0,70,100,380,7,428,0,4,Personal,10.41,2,Petrol,Petrol,Vehicle_Size,0,ICE
125,Volkswagen T6,Volkswagen,Crossover,B,0,1008,450,9.7,248,1437,33749,0,0,167,284,696,7,589,1,5,Sports,7.25,3,Diesel,Diesel,Vehicle_Size,1,ICE
126,Volvo H-Class,Volvo,Hatchback,C,2,900,408,9.7,218,622,45772,0,0,155,205,489,5,431,1,4,Personal,7.01,5,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
127,Skoda HH-66,Skoda,SUV,A,0,713,503,10.3,205,1743,28780,0,0,115,164,445,7,654,0,5,Personal,9.61,3,Petrol,Petrol,Vehicle_Size,0,ICE
128,Audi L9,Audi,Sedan,F,0,993,679,5.4,250,762,107127,0,0,339,456,774,5,435,2,5,Personal,12.97,8,Petrol,Petrol,Vehicle_Size,2,ICE
129,Mercedes-Benz CC-8,Mercedes-Benz,MPV,B,0,727,535,9.8,243,1042,33535,0,0,159,220,572,7,714,1,4,Personal,10.23,3,Petrol,Petrol,Vehicle_Size,1,ICE
130,Toyota 888,Toyota,Pickup,C,10.4,900,401,10.8,244,2469,46297,47,0,161,249,574,5,0,1,4,Commercial,5.28,3,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
131,Audi 111,Audi,Sedan,E,0,1001,635,8.9,250,732,75884,0,0,236,416,390,5,537,1,5,Personal,12.13,6,Petrol,Petrol,Vehicle_Size,1,ICE
132,Aston Martin N6,Aston Martin,Hatchback,B,0,706,588,11.1,189,652,24494,0,0,71,100,376,5,365,0,4,Personal,11.23,1,Petrol,Petrol,Vehicle_Size,0,ICE
133,Toyota 111,Toyota,Sedan,C,0,957,516,10.5,226,932,43420,0,0,138,265,475,5,403,1,4,Personal,8.51,2,Diesel,Diesel,Vehicle_Size,1,ICE
134,Skoda BB-55,Skoda,SUV,D,0,822,675,9.2,250,1845,62334,0,0,219,332,693,6,511,1,3,Commercial,11.14,4,Diesel,Diesel,Vehicle_Size,1,ICE
135,Toyota C2x,Toyota,Convertible,C,0,987,483,10.1,222,0,37213,0,0,112,165,605,3,319,0,4,Personal,9.22,2,Petrol,Petrol,Vehicle_Size,0,ICE
136,Volkswagen S1,Volkswagen,SUV,B,0,813,549,11.1,208,1656,34310,0,0,128,192,735,6,529,1,4,Personal,10.48,3,Petrol,Petrol,Vehicle_Size,1,ICE
137,Dacia N-Class,Dacia,Hatchback,D,0,919,695,8.2,250,651,65645,0,0,264,411,545,5,325,2,4,Personal,11.46,4,Diesel,Diesel,Vehicle_Size,2,ICE
138,Maserati 777,Maserati,Hatchback,D,1.5,900,312,9,241,741,63394,0,0,197,319,779,5,484,1,3,Personal,5.36,4,Hybrid,Petrol+Electric,Vehicle_Size,1,Hybrid
139,Kia UU-1,Kia,Sedan,C,0,721,681,11.9,208,974,37855,0,0,92,127,474,5,461,0,5,Personal,13.01,2,Petrol,Petrol,Vehicle_Size,0,ICE
140,BMW NN-88,BMW,Coupe,A,8.4,900,327,9.6,198,467,30136,59,0,98,167,519,3,373,0,4,Personal,5,2,Hybrid,Petrol+Electric,Vehicle_Size,0,Hybrid
141,Volvo U2x,Volvo,Crossover,A,0,822,498,10.6,210,1416,27606,0,0,70,128,528,7,453,0,3,Personal,8.21,1,Diesel,Diesel,Vehicle_Size,0,ICE
